pfp;block;year;quart;screen;tile;category;fact;plan;fact_prev;mera;color1;proc1;text1;color2;proc2;text2;color3;color4;val4;
Факт;все;12018;12018;плитка 2 OPEX;Основные факторы изменений OPEX;План 2018;0;129.8;;млрд. руб;#dfdfdf;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Основные факторы изменений OPEX;Повышение<br>начисления резервов<br>по обязательтвам;129.8;127.4;-2.1;млрд. руб;#6EC7F7;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Основные факторы изменений OPEX;Перенос сроков<br>оплаты АХР;127.4;121.0;-6.3;млрд. руб;#61DB96;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Основные факторы изменений OPEX;Недоосвоение Проектного лимита;121.0;121.2;+0.2;млрд. руб;#61DB96;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Основные факторы изменений OPEX;Факт 2018;0;121.2;-8.6;млрд. руб;#dfdfdf;;;;;;;;;
