pfp;block;year;quart;category;radius;title;text;lat;long;;абсолют;%;бабл;;
План;Все;42017;42017;Карта OPEX по ТБ;40;Подразделения ЦА;Центральный Аппарат: 551.6 млрд.руб;55.629177;37.633741;;551.6;;40;;
План;КБ;42017;42017;Карта OPEX по ТБ;0;Подразделения ЦА;Центральный Аппарат;55.629177;37.633741;;0;;0;;
План;Все;12018;12018;Карта OPEX по ТБ;30;Подразделения ЦА;Центральный Аппарат: 21.9 млрд.руб;55.829703;37.662334;;21.9;;30;;
План;Все;12018;12018;Карта OPEX по ТБ;7;Байкальский банк;Байкальский банк: 4.7 млрд.руб;70.111249;138.336540;;4.7;;7;;
План;Все;12018;12018;Карта OPEX по ТБ;15;Волго-Вятский банк;Волго-Вятский банк: 10.9 млрд.руб;55.670318;47.881094;;10.9;;15;;
План;Все;12018;12018;Карта OPEX по ТБ;7;Дальневосточный банк;Дальневосточный банк: 5 млрд.руб;55.3425;138.8416;;5;;7;;
План;Все;12018;12018;Карта OPEX по ТБ;7;Западно-Сибирский банк;Западно-Сибирский банк: 5 млрд.руб;63.555525;71.550048;;5;;7;;
План;Все;12018;12018;Карта OPEX по ТБ;22;Московский банк;Московский банк: 15.6 млрд.руб;55.829703;55.829703;;15.6;;22;;
План;Все;12018;12018;Карта OPEX по ТБ;12;Поволжский банк;Поволжский банк: 8.6 млрд.руб;55.829703;37.662334;;8.6;;12;;
План;Все;12018;12018;Карта OPEX по ТБ;18;Северо-Западный банк;Северо-Западный банк: 12.7 млрд.руб;50.822803;44.838229;;12.7;;18;;
План;Все;12018;12018;Карта OPEX по ТБ;13;Сибирский банк;Сибирский банк: 9 млрд.руб;67.690249;48.818185;;9;;13;;
План;Все;12018;12018;Карта OPEX по ТБ;18;Среднерусский банк;Среднерусский банк: 12.9 млрд.руб;67.381542;33.467618;;12.9;;18;;
План;Все;12018;12018;Карта OPEX по ТБ;12;Уральский банк;Уральский банк: 8.3 млрд.руб;64.869264;93.719162;;8.3;;12;;
План;Все;12018;12018;Карта OPEX по ТБ;8;Центрально-Черноземный банк;Центрально-Черноземный банк: 5.5 млрд.руб;54.817428;33.854468;;5.5;;8;;
План;Все;12018;12018;Карта OPEX по ТБ;13;Юго-Западный банк;Юго-Западный банк: 9.6 млрд.руб;56.607673;59.689390;;9.6;;13;;
План;КБ;12018;12018;Карта OPEX по ТБ;0;Подразделения ЦА;Центральный Аппарат;55.829703;37.662334;;0;;0;;
План;КБ;12018;12018;Карта OPEX по ТБ;0;Байкальский банк;Байкальский банк;70.111249;138.336540;;0;;0;;
План;КБ;12018;12018;Карта OPEX по ТБ;0;Волго-Вятский банк;Волго-Вятский банк;55.670318;47.881094;;0;;0;;
План;КБ;12018;12018;Карта OPEX по ТБ;0;Дальневосточный банк;Дальневосточный банк;55.3425;138.8416;;0;;0;;
