pfp;block;year;quart;tile;category;fact;plan;mera;color1;proc1;text1;color2;proc2;text2;
Прогноз;Все;12018;12018;График OPEX;ПАО;121.2;;млрд. руб.;;;;;;;
Прогноз;Все;12018;12018;График OPEX;ДЗО;20.7;;млрд. руб.;;;;;;;
Прогноз;Все;12018;12018;График OPEX;ЦБ;0.4;;млрд. руб.;;;;;;;
Прогноз;Все;12018;12018;График OPEX;Прочее;10.8;;млрд. руб.;;;;;;;
Прогноз;Все;12018;12018;График CAPEX;Бизнес расходы;4.6;;млрд. руб.;;;;;;;
Прогноз;Все;12018;12018;График CAPEX;ИТ;15.9;;млрд. руб.;;;;;;;
Прогноз;Все;12018;12018;График CAPEX;Недвижимость;14.0;;млрд. руб.;;;;;;;
Прогноз;Все;12018;12018;График CAPEX;Прочее;2.6;;млрд. руб.;;;;;;;
Прогноз;Все;12018;12018;График CAPEX;Транспорт;1;;млрд. руб.;;;;;;;
Прогноз;все;42017;42017;График OPEX;ПАО;0;;млрд. руб.;;;;;;;
Прогноз;все;42017;42017;График OPEX;ДЗО;0;;млрд. руб.;;;;;;;
Прогноз;все;42017;42017;График OPEX;ЦБ;0;;млрд. руб.;;;;;;;
Прогноз;все;42017;42017;График OPEX;Прочее;0;;млрд. руб.;;;;;;;
Прогноз;все;42017;42017;График CAPEX;Бизнес расходы;0;;млрд. руб.;;;;;;;
Прогноз;все;42017;42017;График CAPEX;ИТ;0;;млрд. руб.;;;;;;;
Прогноз;все;42017;42017;График CAPEX;Недвижимость;0;;млрд. руб.;;;;;;;
Прогноз;все;42017;42017;График CAPEX;Прочее;0;;млрд. руб.;;;;;;;
Прогноз;все;42017;42017;График CAPEX;Транспорт;0;;млрд. руб.;;;;;;;
Прогноз;КБ;12018;12018;График OPEX;ПАО;0;;млрд. руб.;;;;;;;
Прогноз;КБ;12018;12018;График OPEX;ДЗО;0;;млрд. руб.;;;;;;;
Прогноз;КБ;12018;12018;График OPEX;ЦБ;0;;млрд. руб.;;;;;;;
Прогноз;КБ;12018;12018;График OPEX;Прочее;0;;млрд. руб.;;;;;;;
Прогноз;КБ;12018;12018;График CAPEX;Бизнес расходы;0;;млрд. руб.;;;;;;;
Прогноз;КБ;12018;12018;График CAPEX;ИТ;0;;млрд. руб.;;;;;;;
Прогноз;КБ;12018;12018;График CAPEX;Недвижимость;0;;млрд. руб.;;;;;;;
Прогноз;КБ;12018;12018;График CAPEX;Прочее;0;;млрд. руб.;;;;;;;
Прогноз;КБ;12018;12018;График CAPEX;Транспорт;0;;млрд. руб.;;;;;;;
Прогноз;КБ;42017;42017;График OPEX;ПАО;0;;млрд. руб.;;;;;;;
Прогноз;КБ;42017;42017;График OPEX;ДЗО;0;;млрд. руб.;;;;;;;
Прогноз;КБ;42017;42017;График OPEX;ЦБ;0;;млрд. руб.;;;;;;;
Прогноз;КБ;42017;42017;График OPEX;Прочее;0;;млрд. руб.;;;;;;;
Прогноз;КБ;42017;42017;График CAPEX;Бизнес расходы;0;;млрд. руб.;;;;;;;
Прогноз;КБ;42017;42017;График CAPEX;ИТ;0;;млрд. руб.;;;;;;;
Прогноз;КБ;42017;42017;График CAPEX;Недвижимость;0;;млрд. руб.;;;;;;;
Прогноз;КБ;42017;42017;График CAPEX;Прочее;0;;млрд. руб.;;;;;;;
Прогноз;КБ;42017;42017;График CAPEX;Транспорт;0;;млрд. руб.;;;;;;;
