pfp;block;year;quart;modal;category;plan;fact;radius;title;text;lat;long;;;;
Факт;Все;42017;42017;Карта OPEX по ТБ;;;;7,05;Центрально-Черноземный банк;Центрально-Черноземный банк: 23.5 млрд.руб; 52.636269 ; 39.100789 ;;23.5;;7
Факт;Все;42017;42017;Карта OPEX по ТБ;;;;12,27;Юго-Западный банк;Юго-Западный банк: 40.9 млрд.руб; 44.223498 ; 41.138609 ;;40.9;;12
Факт;все;12018;12018;Карта OPEX по ТБ;;;;5;Подразделения ЦА;Центральный Аппарат: 16.6 млрд.руб; 55.629177 ; 37.633741 ;;16.6;;5
Факт;все;12018;12018;Карта OPEX по ТБ;;;;1,35;Байкальский банк;Байкальский банк: 4.5 млрд.руб; 70.111249 ; 138.336540 ;;4.5;;1
Факт;все;12018;12018;Карта OPEX по ТБ;;;;3,21;Волго-Вятский банк;Волго-Вятский банк: 10.7 млрд.руб; 55.670318 ; 47.881094 ;;10.7;;3
Факт;все;12018;12018;Карта OPEX по ТБ;;;;1,5;Дальневосточный банк;Дальневосточный банк: 5 млрд.руб; 55.3425 ; 138.8416 ;;5;;2
Факт;все;12018;12018;Карта OPEX по ТБ;;;;1,44;Западно-Сибирский банк;Западно-Сибирский банк: 4.8 млрд.руб; 63.555525 ; 71.550048 ;;4.8;;1
Факт;все;12018;12018;Карта OPEX по ТБ;;;;0;Западно-Уральский банк;Западно-Уральский банк: 0; 61.540537 ; 52.971007 ;;0;;0
Факт;все;12018;12018;Карта OPEX по ТБ;;;;4,44;Московский банк;Московский банк: 14.8 млрд.руб; 55.829703 ; 37.662334 ;;14.8;;4
Факт;все;12018;12018;Карта OPEX по ТБ;;;;2,58;Поволжский банк;Поволжский банк: 8.6 млрд.руб; 50.822803 ; 44.838229 ;;8.6;;3
Факт;все;12018;12018;Карта OPEX по ТБ;;;;0;Северный банк;Северный банк; 67.690249 ; 48.818185 ;;0;;0
Факт;все;12018;12018;Карта OPEX по ТБ;;;;3,63;Северо-Западный банк;Северо-Западный банк: 12.1 млрд.руб; 67.381542 ; 33.467618 ;;12.1;;4
Факт;все;12018;12018;Карта OPEX по ТБ;;;;2,55;Сибирский банк;Сибирский банк: 8.5 млрд.руб; 64.869264 ; 93.719162 ;;8.5;;3
Факт;все;12018;12018;Карта OPEX по ТБ;;;;3,81;Среднерусский банк;Среднерусский банк: 12.7 млрд.руб; 54.817428 ; 33.854468 ;;12.7;;4
Факт;все;12018;12018;Карта OPEX по ТБ;;;;2,34;Уральский банк;Уральский банк: 7.8 млрд.руб; 56.607673 ; 59.689390 ;;7.8;;2
Факт;все;12018;12018;Карта OPEX по ТБ;;;;1,62;Центрально-Черноземный банк;Центрально-Черноземный банк: 5.4 млрд.руб; 52.636269 ; 39.100789 ;;5.4;;2
