pfp;block;year;quart;tile;category;data1;data2;data3;mera;arrow1;color1;proc1;text1;arrow2;color2;proc2;text2;isParent;addClass
План;все;12018;12018;КР на персонал;Материальная помощь;0.5;0.4;+10.1%;;;;;;;;;;parent;
План;все;12018;12018;КР на персонал;Соц. программа пенсионерам;0.8;0.2;+294.9%;;;;;;;;;;parent;
План;все;12018;12018;Факторы изменения1;Факт ЗМ 2017;60;76.8;76.8;;;#dfdfdf;;;;;;;parent;
План;все;12018;12018;Факторы изменения1;Удорожание ст-ти<br>перс-ла;76.8;78.1;+1.3;;;#6EC7F7;;;;;;;parent;
План;все;12018;12018;Факторы изменения1;Налоги на з/п;78.1;79.4;+1.3;;;#6EC7F7;;;;;;;parent;
План;все;12018;12018;Факторы изменения1;Индексация;79.4;81.6;+2.2;;;#6EC7F7;;;;;;;parent;
План;все;12018;12018;Факторы изменения1;Расходы соц. хар-ра;81.6;82.2;+0.6;;;#6EC7F7;;;;;;;parent;
План;все;12018;12018;Факторы изменения1;Сокр. рез-ва на отпуск;82.2;81.7;-0.5;;;#61db96;;;;;;;parent;
План;все;12018;12018;Факторы изменения1;Сокр. среднесп. числ.;81.7;80.3;-1.4;;;#61db96;;;;;;;parent;
План;все;12018;12018;Факторы изменения1;Календ. и завыш.<br>рез-вы;80.3;84.7;+4.4;;;#6EC7F7;;;;;;;parent;
План;все;12018;12018;Факторы изменения1;Факт ЗМ 2018;60;84.7;84.7;;;#dfdfdf;;;;;;;parent;
План;все;12018;12018;Факторы изменения2;Факт ЗМ 2017;60;76.8;76.8;;;#dfdfdf;;;;;;;parent;
План;все;12018;12018;Факторы изменения2;ЦА;76.8;78.1;+1.3;;;#6EC7F7;;;;;;;parent;
План;все;12018;12018;Факторы изменения2;ПЦП;78.1;79.4;+1.3;;;#6EC7F7;;;;;;;parent;
План;все;12018;12018;Факторы изменения2;ТБ;79.4;81.6;+2.2;;;#6EC7F7;;;;;;;parent;
План;все;12018;12018;Факторы изменения2;ВСП;81.6;82.2;+0.6;;;#6EC7F7;;;;;;;parent;
План;все;12018;12018;Факторы изменения2;Факт ЗМ 2018;60;84.7;84.7;;;#dfdfdf;;;;;;;parent;
План;все;12018;12018;Динамика расходов на персонал;2016;н/д;н/д;;;;;;;;;;;parent;
План;все;12018;12018;Динамика расходов на персонал;2018;324;326;;;;;;;;;;;parent;
План;все;12018;12018;Динамика расходов на персонал;2018;85;328;;;;;;;;;;;parent;
План;все;12018;12018;Динамика расходов на персонал;2019;н/д;н/д;;;;;;;;;;;parent;
План;все;12018;12018;Динамика расходов на персонал;2020;н/д;н/д;;;;;;;;;;;parent;
План;все;42018;42018;Показатели;Соблюдение<br>лимита на оплату<br>труда по Блокам;;;;;;;;;;;;;parent;
План;все;42018;42018;Показатели;Среднемес. норм. доход<br>на 1 сотрудника;76.2;;;тыс. руб;;;;;;;;;parent;
План;все;42018;42018;Показатели;Средний разряд<br>Москва;9.1;;;;;;;;;;;;parent;
План;все;42018;42018;Показатели;Средний разряд<br>Регионы;6.4;;;;;;;;;;;;parent;
План;все;42018;42018;Показатели;Фактическая численность;243;;;тыс. чел;;;;;;;;;parent;
План;все;42018;42018;График соблюдение лимита;;2;16;;;;;;;;;;;parent;
План;все;42018;42018;КР на персонал;Персонал;328.8;329.1;-0.1%;;;;;;;;;;parent;
План;все;42018;42018;КР на персонал;Расходы на персонал;313.7;313.6;0%;;;;;;;;;;parent;
План;все;42018;42018;КР на персонал;Зарплата и премия;178.7;180.0;-0.7%;;;;;;;;;;parent;
План;все;42018;42018;КР на персонал;Налоги на зарплату;62.1;51.9;+19.4%;;;;;;;;;;parent;
План;все;42018;42018;КР на персонал;Резервы на вознаграждения за год;43.9;54.0;-18.6%;;;;;;;;;;parent;
План;все;42018;42018;КР на персонал;Резерв (врем.экон.ПАО Сбербанк);2.0;0;-99.4%;;;;;;;;;;parent;
План;все;42018;42018;КР на персонал;Резервы на квартальное премирование;27.0;27.6;-2.1%;;;;;;;;;;parent;
План;все;42018;42018;КР на персонал;Расходы социального характера;15.1;15.5;-2.7%;;;;;;;;;;parent;
План;все;42018;42018;КР на персонал;Выплаты при увольнении сотрудников;4.3;4.3;+0.9%;;;;;;;;;;parent;
План;все;42018;42018;КР на персонал;ДМС;2.7;3.3;-17.5%;;;;;;;;;;parent;
План;все;42018;42018;КР на персонал;Единовременные премии;3.4;3.2;+6.0%;;;;;;;;;;parent;
План;все;42018;42018;КР на персонал;Материальная помощь;1.4;1.9;-28.8%;;;;;;;;;;parent;
План;все;42018;42018;КР на персонал;Соц. программа пенсионерам;3.3;2.8;+16.7%;;;;;;;;;;parent;
План;все;42018;42018;Факторы изменения1;Факт ЗМ 2017;60;76.8;76.8;;;#dfdfdf;;;;;;;parent;
План;все;42018;42018;Факторы изменения1;Удорожание ст-ти<br>перс-ла;76.8;78.1;+1.3;;;#6EC7F7;;;;;;;parent;
План;все;42018;42018;Факторы изменения1;Налоги на з/п;78.1;79.4;+1.3;;;#6EC7F7;;;;;;;parent;
План;все;42018;42018;Факторы изменения1;Индексация;79.4;81.6;+2.2;;;#6EC7F7;;;;;;;parent;
План;все;42018;42018;Факторы изменения1;Расходы соц. хар-ра;81.6;82.2;+0.6;;;#6EC7F7;;;;;;;parent;
План;все;42018;42018;Факторы изменения1;Сокр. рез-ва на отпуск;82.2;81.7;-0.5;;;#61db96;;;;;;;parent;
План;все;42018;42018;Факторы изменения1;Сокр. среднесп. числ.;81.7;80.3;-1.4;;;#61db96;;;;;;;parent;
План;все;42018;42018;Факторы изменения1;Календ. и завыш.<br>рез-вы;80.3;84.7;+4.4;;;#6EC7F7;;;;;;;parent;
План;все;42018;42018;Факторы изменения1;Факт ЗМ 2018;60;84.7;84.7;;;#dfdfdf;;;;;;;parent;
План;все;42018;42018;Факторы изменения2;Факт ЗМ 2017;60;76.8;76.8;;;#dfdfdf;;;;;;;parent;
План;все;42018;42018;Факторы изменения2;ЦА;76.8;78.1;+1.3;;;#6EC7F7;;;;;;;parent;
План;все;42018;42018;Факторы изменения2;ПЦП;78.1;79.4;+1.3;;;#6EC7F7;;;;;;;parent;
План;все;42018;42018;Факторы изменения2;ТБ;79.4;81.6;+2.2;;;#6EC7F7;;;;;;;parent;
План;все;42018;42018;Факторы изменения2;ВСП;81.6;82.2;+0.6;;;#6EC7F7;;;;;;;parent;
План;все;42018;42018;Факторы изменения2;Факт ЗМ 2018;60;84.7;84.7;;;#dfdfdf;;;;;;;parent;
План;все;42018;42018;Динамика расходов на персонал;2016;н/д;н/д;;;;;;;;;;;parent;
План;все;42018;42018;Динамика расходов на персонал;2018;324;326;;;;;;;;;;;parent;
План;все;42018;42018;Динамика расходов на персонал;2018;85;328;;;;;;;;;;;parent;
План;все;42018;42018;Динамика расходов на персонал;2019;н/д;н/д;;;;;;;;;;;parent;
