pfp;block;year;quart;tile;category;fact;plan;mera;arrow1;color1;proc1;text1;arrow2;color2;proc2;text2
Факт;КБ;12018;12018;Категории расходов;Налоги;0.1;+1%;;;;;;;;;
Факт;КБ;12018;12018;Категории расходов;Прочее;1.1;+57%;;;;;;;;;
Факт;КБ;12018;12018;Категории расходов ДЗО;СБ Лизинг;0.4;+67%;;;;;;;;;
Факт;КБ;12018;12018;Категории расходов ДЗО;КОРУС Конс.;0.2;+75%;;;;;;;;;
Факт;КБ;12018;12018;Категории расходов ДЗО;СБ Факторинг;0.2;+29%;;;;;;;;;
Факт;КБ;12018;12018;Категории расходов ДЗО;Дел. среда;0.1;+90%;;;;;;;;;
Факт;КБ;12018;12018;Категории расходов ДЗО;Стр. блокер;0.1;-18%;;;;;;;;;
Факт;КБ;12018;12018;Категории расходов ДЗО;Прочие;0.1;-28%;;;;;;;;;
Факт;КБ;12018;12018;ФОКУС;Сокращение расходов на недвижимость;-3;;;;;;focus_fact0;;;;%
Факт;КБ;12018;12018;ФОКУС;Экономия от PUSH-уведомлений;600;;млн. руб.;;;;focus_fact1;;;;
Факт;КБ;12018;12018;ФОКУС;Рост заездов ЦУНДО и сохранение парка УС;+17;;;;;;focus_fact2;;;;%
Факт;КБ;12018;12018;ФОКУС;Рост расходов на персонал;+5;;;;;;focus_fact3;;;;%
Факт;КБ;12018;12018;ФОКУС;Выполнение КПЭ по ограничению оплаты труда;2;;блока;;;;focus_fact4;;;;
Факт;КБ;42018;42018;ФОКУС;Сокращение RUN-расходов на ИТ и Operations ;-1.5;;млрд .руб;;;;focus_prognoz0;;;;
Факт;КБ;42018;42018;ФОКУС;Снижение стоимости приведнной транзакции;-16;;;;;;focus_prognoz1;;;;%
Факт;КБ;42018;42018;ФОКУС;Снижение расходов на недвижимость;-0.2;;млрд .руб;;;;focus_prognoz2;;;;
Факт;КБ;42018;42018;ФОКУС;Рост расходов на персонал;+6.3;;млрд .руб;;;;focus_prognoz3;;;;
Факт;КБ;42018;42018;ФОКУС;Рост расходов на ИТ;+15.7;;млрд .руб;;;;focus_prognoz4;;;;
Факт;КБ;42018;42018;ФОКУС;Рост расходов на маркетинг;+1.2;;млрд .руб;;;;focus_prognoz5;;;;
План;все;42018;42018;CIR;;34;;%;down;green;2.6%;к 2017г.;down;green;2.3%;к плану
План;все;12018;12018;CIR;;31.5;;%;down;green;2.2%;к 2017г.;down;green;14.6%;к плану
План;все;42018;42018;OPEX;;692.1;;млрд. руб.;up;red;3%;к номин.;;;н/д;к реал.
План;все;12018;12018;OPEX;;153;;млрд. руб.;up;red;2%;к номин.;up;red;2%;к реал.
План;все;42018;42018;CAPEX;;152.4;;млрд. руб.;up;red;8.2%;к 2017г.;up;red;5.5%;к плану
План;все;12018;12018;CAPEX;;19;;млрд. руб.;up;red;40%;к 2017г.;down;green;50%;к плану
План;все;42018;42018;Численность;;263;;тыс.чел.;down;green;3.8%;к 2017г.;;;0%;к плану
План;все;12018;12018;Численность;;270;;тыс. чел.;up;red;7.8%;к 2017г.;up;red;2.2%;к плану
План;все;42018;42018;Категории расходов;Персонал;328.8;-0.1%;;;;;;;;;
План;все;42018;42018;Категории расходов;Недвижимость;50.8;-3.4%;;;;;;;;;
План;все;42018;42018;Категории расходов;ИТ;43.3;-23.9%;;;;;;;;;
План;все;42018;42018;Категории расходов;Бизнес;25;-5%;;;;;;;;;
План;все;42018;42018;Категории расходов;Налоги;25.7;-5.5%;;;;;;;;;
План;все;42018;42018;Категории расходов;Прочее;81.8;+1.6%;;;;;;;;;
План;все;42018;42018;Категории расходов ДЗО;Дочерние банки SBI;89.8;+1%;;;;;;;;;
План;все;42018;42018;Категории расходов ДЗО;Цифровой бизнес;2.9;+15.8%;;;;;;;;;
План;все;42018;42018;Категории расходов ДЗО;Прочее;43.9;+22.6%;;;;;;;;;
План;все;12018;12018;Категории расходов;Персонал;84.7;+0.3%;;;;;;;;;
План;все;12018;12018;Категории расходов;Недвижимость;11.2;-9.4%;;;;;;;;;
План;все;12018;12018;Категории расходов;ИТ;10.4;+5.4%;;;;;;;;;
План;все;12018;12018;Категории расходов;Бизнес;5.1;+12.8%;;;;;;;;;
План;все;12018;12018;Категории расходов;Налоги;3.7;-13.1%;;;;;;;;;
План;все;12018;12018;Категории расходов;Прочее;6;-58%;;;;;;;;;
План;все;12018;12018;Категории расходов ДЗО;Дочерние банки SBI;20.9;-9.4%;;;;;;;;;
План;все;12018;12018;Категории расходов ДЗО;Цифровой бизнес;0.4;-36.1%;;;;;;;;;
План;все;12018;12018;Категории расходов ДЗО;Прочее;10.6;-18.4%;;;;;;;;;
План;все;12018;12018;ФОКУС;Сокращение расходов на недвижимость;-3;;;;;;focus_fact0;;;;%
План;все;12018;12018;ФОКУС;Экономия от PUSH-уведомлений;600;;млн. руб.;;;;focus_fact1;;;;
План;все;12018;12018;ФОКУС;Рост заездов ЦУНДО и сохранение парка УС;+17;;;;;;focus_fact2;;;;%
План;все;12018;12018;ФОКУС;Рост расходов на персонал;+5;;;;;;focus_fact3;;;;%
План;все;12018;12018;ФОКУС;Выполнение КПЭ по ограничению оплаты труда;2;;блока;;;;focus_fact4;;;;
План;все;42018;42018;ФОКУС;Сокращение RUN-расходов на ИТ и Operations ;-1.5;;млрд .руб;;;;focus_prognoz0;;;;
План;все;42018;42018;ФОКУС;Снижение стоимости приведнной транзакции;-16;;;;;;focus_prognoz1;;;;%
План;все;42018;42018;ФОКУС;Снижение расходов на недвижимость;-0.2;;млрд .руб;;;;focus_prognoz2;;;;
План;все;42018;42018;ФОКУС;Рост расходов на персонал;+6.3;;млрд .руб;;;;focus_prognoz3;;;;
План;все;42018;42018;ФОКУС;Рост расходов на ИТ;+15.7;;млрд .руб;;;;focus_prognoz4;;;;
План;все;42018;42018;ФОКУС;Рост расходов на маркетинг;+1.2;;млрд .руб;;;;focus_prognoz5;;;;
План;КБ;42018;42018;CIR;;24.9;;%;down;green;2.7%;к 2017г.;down;green;0.9%;к плану
План;КБ;12018;12018;CIR;;23.8;;%;down;green;13.8%;к 2017г.;down;green;8.4%;к плану
План;КБ;42018;42018;OPEX;;46.7;;млрд. руб.;up;red;6%;к номин.;;;н/д;к реал.
План;КБ;12018;12018;OPEX;;11.1;;млрд. руб.;up;red;12%;к номин.;;;н/д;
План;КБ;42018;42018;CAPEX;;н/д;;млрд. руб.;;;н/д;к 2017г.;;;н/д;к плану
План;КБ;12018;12018;CAPEX;;н/д;;млрд. руб.;;;н/д;к 2017г.;;;н/д;к 2017г.
План;КБ;42018;42018;Численность;;н/д;;тыс. чел.;;;н/д;к 2017г.;;;н/д;к плану
