pfp;block;year;quart;screen;tile;quart;block;category;fact;plan;fact_prev;mera;color1;proc1;text1;color2;proc2;text2;color3;color4;val4;isParent;addClass
Факт;все;42017;42017;плитка 2 OPEX;Динамика OPEX;42017;все;2019;705;;;млрд. руб;blue;;;;;;;;;;
Факт;все;42017;42017;плитка 2 OPEX;Динамика OPEX;42017;все;2020;711;;;млрд. руб;blue;;;;;;;;;;
Факт;все;42017;42017;плитка 2 OPEX;Динамика OPEX (vs инфляция);42017;все;2015;3.3;12.9;;%;salad;;;grey;;;;;;;
Факт;все;42017;42017;плитка 2 OPEX;Динамика OPEX (vs инфляция);42017;все;2016;9.5;5.4;;%;salad;;;grey;;;;;;;
Факт;все;42017;42017;плитка 2 OPEX;Динамика OPEX (vs инфляция);42017;все;2017;2.1;2.5;;%;salad;;;grey;;;;;;;
Факт;все;42017;42017;плитка 2 OPEX;Динамика OPEX (vs инфляция);42017;все;2018;5.4;4.0;;%;salad;;;grey;;;;;;;
Факт;все;42017;42017;плитка 2 OPEX;Динамика OPEX (vs инфляция);42017;все;2019;-0.1;4.0;;%;salad;;;grey;;;;;;;
Факт;все;42017;42017;плитка 2 OPEX;Динамика OPEX (vs инфляция);42017;все;2020;0.9;4.0;;%;salad;;;grey;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Динамика OPEX;12018;все;2015;598;;;млрд. руб;blue;;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Динамика OPEX;12018;все;2016;655;;;млрд. руб;blue;;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Динамика OPEX;12018;все;2017;669;;;млрд. руб;blue;;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Динамика OPEX;12018;все;2018;705;;;млрд. руб;blue;;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Динамика OPEX;12018;все;2019;705;;;млрд. руб;blue;;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Динамика OPEX;12018;все;2020;711;;;млрд. руб;blue;;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Динамика OPEX (vs инфляция);12018;все;2015;3.3;12.9;;%;salad;;;grey;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Динамика OPEX (vs инфляция);12018;все;2016;9.5;5.4;;%;salad;;;grey;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Динамика OPEX (vs инфляция);12018;все;2017;2.1;2.5;;%;salad;;;grey;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Динамика OPEX (vs инфляция);12018;все;2018;5.4;4.0;;%;salad;;;grey;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Динамика OPEX (vs инфляция);12018;все;2019;-0.1;4.0;;%;salad;;;grey;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Динамика OPEX (vs инфляция);12018;все;2020;0.9;4.0;;%;salad;;;grey;;;;;;;
Факт;все;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;42017;все;Бизнес функция;н/д;;;;green;;;;;;;;;;
Факт;все;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;42017;все;Обеспечивающая функция;н/д;;;;yellow;;;;;;;;;;
Факт;все;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;42017;все;Корпоративный центр;н/д;;;;blue;;;;;;;;;;
Факт;все;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;42017;все;Дочерние общества;н/д;;;;purple;;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;12018;все;Бизнес функция;74.5;;;;green;;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;12018;все;Обеспечивающая функция;32.3;;;;yellow;;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;12018;все;Корпоративный центр;14.3;;;;blue;;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;12018;все;Дочерние общества;31.9;;;;purple;;;;;;;;;;
